url_length,n_dots,n_hyphens,n_underline,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hashtag,n_dollar,n_percent,n_redirection,classification
131,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
50,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
159,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,suspicious
44,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
103,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,suspicious
46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
45,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,suspicious
38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
112,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
99,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
45,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
60,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
74,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
61,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
88,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,suspicious
74,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,legitimate
46,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
67,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
62,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
92,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
102,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
119,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
54,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
151,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,suspicious
84,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
55,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,suspicious
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
52,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,suspicious
38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
76,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
430,24,0,18,0,2,10,1,9,0,0,0,0,0,0,0,0,0,1,suspicious
37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
73,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
56,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,suspicious
70,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
70,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
52,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
90,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
55,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
65,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
41,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
71,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
83,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
44,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
114,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
127,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,suspicious
99,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,suspicious
56,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
40,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
88,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
122,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
46,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
48,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
101,2,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,suspicious
41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
42,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
51,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
48,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
25,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
49,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
48,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
108,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,suspicious
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
80,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
36,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
77,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
342,5,6,0,0,0,4,1,5,0,1,0,0,0,0,0,0,8,0,suspicious
38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
73,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
67,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
62,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
41,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
51,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
59,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,legitimate
50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
52,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
43,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
94,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
204,2,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
94,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,suspicious
41,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,suspicious
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
75,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
210,4,1,0,0,1,11,0,10,0,0,0,0,0,0,0,0,6,0,suspicious
44,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
150,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
39,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
64,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
106,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
65,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
60,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,suspicious
38,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
129,2,1,7,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
52,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
118,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
78,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,suspicious
64,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
126,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,suspicious
41,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
48,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
50,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
86,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,suspicious
78,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
33,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
102,3,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,suspicious
43,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
101,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
60,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
38,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
137,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,legitimate
263,14,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,suspicious
89,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,suspicious
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
45,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
54,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
86,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,suspicious
26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
83,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
49,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
56,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
70,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
128,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
52,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
66,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
85,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
52,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
109,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
84,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
110,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
171,2,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,suspicious
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
98,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,suspicious
28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
64,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
132,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
124,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
141,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
53,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
79,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
56,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
84,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,suspicious
35,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
28,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
97,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,suspicious
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
85,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
56,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
46,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
55,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
231,3,1,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,suspicious
27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
58,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
133,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
37,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
47,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
93,5,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,suspicious
44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
63,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
51,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
70,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
41,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
74,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
114,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,suspicious
42,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,legitimate
34,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
51,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
78,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,suspicious
154,2,1,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,suspicious
35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
54,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
61,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
64,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
271,5,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,suspicious
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
80,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
282,3,1,4,0,1,4,0,3,0,0,0,0,0,0,0,0,7,0,suspicious
144,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,suspicious
60,3,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,legitimate
87,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
